Age,Profession,Marital Status,Education,No of Dependents,Personal Loan,House Loan,Wife Working,Salary,Wife Salary,Total Salary,Make,Price
58,Designer,1,MBA,2,1,1,0,96174,0,96174,Revolt RV400,128679
48,Teacher,0,High School,2,0,0,0,52431,0,52431,Ather 450X,146478
34,HR Manager,0,MBA,4,1,0,0,47285,0,47285,Pure EV EPluto,106819
27,Software Dev,1,MBA,0,0,1,1,84213,125150,209363,Ola S1,114586
40,HR Manager,1,Master's,1,0,1,0,62083,0,62083,Ampere Magnus,78021
58,Businessman,1,Bachelor's,0,1,0,0,94041,0,94041,Ather 450X,141121
38,Designer,1,Bachelor's,2,1,0,0,50985,0,50985,Bajaj Chetak,117976
42,Consultant,1,High School,4,1,1,1,144911,105047,249958,Revolt RV400,136028
30,Businessman,0,Master's,3,0,0,0,298545,0,298545,Pure EV EPluto,106225
30,Doctor,1,MBA,3,0,0,0,189201,0,189201,Ola S1,102549
43,Doctor,0,Doctorate,0,1,1,0,81447,0,81447,Bajaj Chetak,125347
55,Teacher,1,Doctorate,0,1,1,1,45134,47306,92440,Revolt RV400,135640
59,Businessman,1,High School,0,1,0,1,106803,48241,155044,TVS iQube,117659
43,Teacher,1,High School,2,0,0,1,29100,128485,157585,Hero Photon,86577
22,Designer,0,High School,2,0,1,0,53181,0,53181,Bajaj Chetak,113326
41,Doctor,1,Master's,4,1,1,1,114683,141633,256316,Okinawa iPraise,113718
21,Software Dev,1,Doctorate,2,1,1,1,100428,25313,125741,Ola S1,104504
43,Doctor,1,Master's,4,0,0,0,224116,0,224116,Simple One,112129
49,Engineer,0,Master's,4,1,0,0,72021,0,72021,Pure EV EPluto,95445
57,Govt. Servant,1,MBA,0,0,1,0,86115,0,86115,Ather 450X,149313
21,Consultant,1,Master's,3,1,0,1,133737,60400,194137,Okinawa iPraise,110347
40,Businessman,1,Master's,0,0,0,0,278856,0,278856,Bajaj Chetak,128554
52,Teacher,1,MBA,2,0,0,1,58677,120213,178890,TVS iQube,107479
31,Govt. Servant,0,Bachelor's,1,1,1,0,39031,0,39031,Ather 450X,140258
41,Govt. Servant,0,MBA,2,1,0,0,37716,0,37716,Hero Photon,82452
44,HR Manager,1,High School,3,0,1,1,79655,93796,173451,Ampere Magnus,72002
46,Sales Exec,0,Bachelor's,2,1,0,0,34586,0,34586,TVS iQube,116560
47,HR Manager,1,Doctorate,3,1,1,1,69303,79021,148324,Pure EV EPluto,100029
35,HR Manager,0,Master's,1,1,1,0,82325,0,82325,Okinawa iPraise,110621
34,Consultant,1,Bachelor's,1,0,1,0,73534,0,73534,Simple One,112257
22,Engineer,0,Doctorate,4,0,0,0,110224,0,110224,Ola S1,112109
56,Doctor,1,MBA,2,0,1,1,126694,135915,262609,Revolt RV400,137987
26,HR Manager,0,MBA,4,1,0,0,66299,0,66299,Hero Photon,88478
40,Designer,0,High School,0,0,0,0,79718,0,79718,Simple One,115660
28,Doctor,0,High School,0,1,0,0,114049,0,114049,Simple One,105040
58,Engineer,0,Bachelor's,0,1,0,0,79278,0,79278,Ola S1,104867
37,Teacher,1,Master's,0,0,0,0,46370,0,46370,Ampere Magnus,76584
23,Sales Exec,0,MBA,0,0,1,0,74266,0,74266,Simple One,102359
44,Doctor,1,Bachelor's,2,0,1,1,176555,126307,302862,Pure EV EPluto,92309
33,Businessman,1,Bachelor's,4,1,0,0,106451,0,106451,Ola S1,116209
28,Consultant,1,Bachelor's,4,1,1,1,182630,30536,213166,Ather 450X,142995
45,Govt. Servant,1,High School,3,0,0,0,79890,0,79890,TVS iQube,109288
21,Teacher,1,MBA,0,1,1,1,30862,39642,70504,Simple One,101633
39,Engineer,1,High School,1,0,0,0,62846,0,62846,Ampere Magnus,85399
47,HR Manager,1,High School,3,0,1,1,49972,46673,96645,Ather 450X,147972
26,Designer,0,Bachelor's,3,0,0,0,33163,0,33163,Ola S1,101661
27,Designer,1,Doctorate,2,1,0,0,64955,0,64955,Ola S1,117371
54,Sales Exec,1,Doctorate,3,0,1,0,45600,0,45600,Ampere Magnus,89505
33,Engineer,1,Doctorate,1,0,0,1,79418,138985,218403,Ola S1,113807
36,Teacher,1,Bachelor's,4,0,1,0,54160,0,54160,TVS iQube,107885
55,Businessman,1,Master's,3,0,1,0,117553,0,117553,Hero Photon,87931
59,Govt. Servant,0,MBA,2,1,1,0,81756,0,81756,Revolt RV400,122843
23,HR Manager,1,Bachelor's,0,1,1,1,77986,135110,213096,Revolt RV400,131007
21,Consultant,1,Bachelor's,1,1,0,0,147772,0,147772,Bajaj Chetak,126958
25,Software Dev,0,High School,0,1,0,0,84103,0,84103,Pure EV EPluto,109644
23,Software Dev,1,Doctorate,3,1,0,0,84830,0,84830,Okinawa iPraise,105109
48,HR Manager,1,Bachelor's,4,1,0,1,56980,27325,84305,Ola S1,112441
37,Teacher,1,Master's,2,1,0,0,49876,0,49876,Ampere Magnus,75782
45,HR Manager,1,MBA,1,0,1,1,116716,149188,265904,Revolt RV400,120146
53,Engineer,0,Master's,4,0,1,0,38920,0,38920,Ola S1,109958
29,Software Dev,1,Bachelor's,1,1,0,0,146280,0,146280,Ampere Magnus,89175
55,Sales Exec,1,Bachelor's,2,0,0,1,50875,144206,195081,TVS iQube,108462
33,Engineer,0,High School,2,1,1,0,43127,0,43127,Ampere Magnus,86399
50,Software Dev,0,Master's,3,1,0,0,75392,0,75392,Simple One,102963
34,Businessman,1,High School,1,0,0,0,128260,0,128260,Hero Photon,83583
27,Govt. Servant,0,Master's,3,0,1,0,38846,0,38846,Revolt RV400,124242
33,Designer,1,Doctorate,1,0,0,1,60055,21149,81204,Ampere Magnus,76598
42,Engineer,0,Doctorate,1,0,1,0,86661,0,86661,Revolt RV400,132211
59,Designer,1,Master's,0,1,1,0,71292,0,71292,Ola S1,105807
40,Designer,1,High School,3,0,1,1,66510,48377,114887,Ola S1,101031
35,Software Dev,0,Doctorate,1,1,0,0,137953,0,137953,Ather 450X,149916
37,Engineer,1,Bachelor's,1,1,0,1,40327,138700,179027,Ather 450X,148204
43,Govt. Servant,1,MBA,2,0,0,1,40584,76301,116885,Revolt RV400,137609
45,Businessman,1,High School,0,0,0,0,187298,0,187298,Simple One,108850
44,Doctor,1,Master's,2,0,1,1,196887,44888,241775,Simple One,112721
48,Sales Exec,1,MBA,3,1,0,0,77184,0,77184,Hero Photon,83945
34,Designer,1,MBA,3,1,0,1,33868,59811,93679,Pure EV EPluto,100397
20,Govt. Servant,1,Bachelor's,1,0,0,1,30249,98085,128334,Okinawa iPraise,105085
44,Consultant,1,High School,4,0,1,0,107044,0,107044,Simple One,111164
26,Consultant,0,MBA,2,1,1,0,162928,0,162928,Simple One,115844
28,Doctor,1,High School,3,0,1,0,179813,0,179813,Simple One,110812
43,Doctor,1,Bachelor's,1,0,1,0,105604,0,105604,Simple One,115752
20,Doctor,0,Master's,1,0,0,0,71956,0,71956,Bajaj Chetak,127775
27,Sales Exec,0,MBA,2,0,1,0,67361,0,67361,Ampere Magnus,75912
43,Sales Exec,0,MBA,1,0,1,0,65673,0,65673,Ola S1,103177
30,Businessman,0,MBA,0,0,0,0,107085,0,107085,Bajaj Chetak,112418
36,Designer,0,High School,4,0,1,0,67211,0,67211,Ather 450X,142157
27,Teacher,0,MBA,2,1,1,0,51583,0,51583,Revolt RV400,134116
54,Consultant,1,High School,2,0,0,0,105386,0,105386,Ola S1,113575
54,Software Dev,0,Doctorate,2,0,1,0,72405,0,72405,Okinawa iPraise,102378
52,Software Dev,0,Doctorate,1,1,0,0,76686,0,76686,Simple One,110663
24,Doctor,0,High School,1,1,1,0,76677,0,76677,Simple One,106422
58,HR Manager,0,Doctorate,2,0,0,0,124159,0,124159,Bajaj Chetak,120463
47,Consultant,0,Bachelor's,2,1,0,0,65908,0,65908,Revolt RV400,138604
26,Teacher,1,Bachelor's,0,0,0,1,44606,141742,186348,Ather 450X,143200
28,Teacher,1,Doctorate,3,1,1,1,52555,37004,89559,Hero Photon,88112
27,Software Dev,1,Master's,0,1,0,1,102045,65996,168041,Ather 450X,140245
31,HR Manager,1,High School,2,1,0,0,61261,0,61261,Pure EV EPluto,104856
53,Teacher,0,Doctorate,1,0,1,0,42007,0,42007,Hero Photon,86299
52,Consultant,0,High School,1,1,0,0,74574,0,74574,Okinawa iPraise,116992
42,Designer,0,Doctorate,2,0,0,0,67985,0,67985,Revolt RV400,136735
43,Govt. Servant,1,Bachelor's,3,0,0,0,99683,0,99683,Okinawa iPraise,111911
56,HR Manager,0,Master's,4,1,0,0,87578,0,87578,Ampere Magnus,77889
54,Teacher,1,High School,4,1,1,1,43894,36977,80871,Pure EV EPluto,93526
59,HR Manager,0,Master's,0,0,0,0,103426,0,103426,Ola S1,111375
41,HR Manager,0,Bachelor's,3,0,0,0,101316,0,101316,Ampere Magnus,83003
46,Designer,1,MBA,4,0,0,0,83597,0,83597,Ampere Magnus,71610
54,Consultant,1,MBA,3,1,1,0,192854,0,192854,Simple One,104175
20,Software Dev,1,High School,1,0,1,1,69672,47472,117144,Ather 450X,143627
54,Designer,1,Bachelor's,1,1,0,1,71673,73691,145364,Ather 450X,147245
56,Teacher,1,High School,3,0,0,1,27723,100352,128075,Pure EV EPluto,95007
33,Doctor,1,High School,2,1,1,0,219676,0,219676,Hero Photon,80435
22,Designer,1,High School,4,0,0,1,41423,53379,94802,Hero Photon,87893
20,Doctor,0,Master's,4,0,1,0,122302,0,122302,Ola S1,112199
24,Engineer,1,Doctorate,1,1,0,0,117451,0,117451,Revolt RV400,123260
45,Software Dev,1,Bachelor's,0,1,1,0,79299,0,79299,Okinawa iPraise,118200
33,Consultant,0,Master's,4,1,0,0,75230,0,75230,TVS iQube,102780
58,Govt. Servant,1,Doctorate,1,1,0,0,52529,0,52529,Bajaj Chetak,122874
46,HR Manager,1,High School,1,1,1,1,40150,50314,90464,Simple One,115251
28,Doctor,1,MBA,3,0,0,1,70170,33144,103314,Simple One,114058
34,Govt. Servant,0,Master's,3,1,1,0,90950,0,90950,Ola S1,110997
34,Govt. Servant,1,Bachelor's,3,1,0,0,58386,0,58386,TVS iQube,107372
45,Doctor,1,Bachelor's,0,1,0,1,86393,77970,164363,Ather 450X,146596
32,Govt. Servant,1,Doctorate,4,1,1,0,75683,0,75683,Hero Photon,82533
51,HR Manager,0,Master's,0,1,1,0,83954,0,83954,Simple One,118431
58,Businessman,1,High School,0,0,1,0,175481,0,175481,Ola S1,116321
51,Engineer,0,Doctorate,3,1,0,0,34995,0,34995,Ampere Magnus,75556
23,Doctor,1,Bachelor's,1,0,0,0,227249,0,227249,Ampere Magnus,88853
49,HR Manager,0,Master's,2,1,0,0,58274,0,58274,Hero Photon,81161
56,Software Dev,1,MBA,1,1,0,1,138414,79291,217705,Ola S1,112293
42,Doctor,1,High School,1,0,0,1,115475,34668,150143,Bajaj Chetak,113166
58,HR Manager,0,Bachelor's,1,1,0,0,90128,0,90128,Pure EV EPluto,101169
34,HR Manager,0,Master's,1,1,1,0,82394,0,82394,Hero Photon,82608
48,Designer,0,MBA,0,0,0,0,37943,0,37943,Ampere Magnus,88207
55,Businessman,0,Bachelor's,3,0,1,0,254500,0,254500,TVS iQube,104380
32,Doctor,0,MBA,3,1,0,0,220110,0,220110,Hero Photon,80377
51,Consultant,1,Bachelor's,1,0,1,1,112988,145215,258203,Bajaj Chetak,124837
26,HR Manager,1,Doctorate,2,1,1,0,115949,0,115949,Okinawa iPraise,106592
41,Engineer,1,Doctorate,4,1,0,0,97669,0,97669,Bajaj Chetak,118976
47,Designer,1,Doctorate,1,1,1,1,44242,30159,74401,Revolt RV400,120560
21,HR Manager,0,Master's,1,0,0,0,61426,0,61426,Pure EV EPluto,100374
25,Doctor,0,Doctorate,2,0,1,0,181918,0,181918,Ather 450X,145843
47,Teacher,0,Master's,0,1,1,0,36236,0,36236,Pure EV EPluto,108819
47,HR Manager,1,High School,1,1,1,1,80515,62386,142901,Bajaj Chetak,119534
39,Sales Exec,1,Doctorate,2,0,1,0,72876,0,72876,Bajaj Chetak,111220
